Stoneville Sloths,Stoneville Sloths,Old Team,645.9514772,
Perth City Puck Pirates,Perth City Puck Pirates,Old Team,644.1584463,
Balingup Bruisers,Balingup Bruisers,Old Team,641.9908648,
Nedlands Flanders,Nedlands Flanders,Old Team,637.4774929,
Roleystone Henges,Roleystone Henges,Old Team,636.1762055,
Swanbourne Sand People,Swanbourne Sand People,Old Team,636.0308118,
You Used to Como on my Cell Phone,You Used to Como on my Cell Phone,Old Team,630.1066747,
Bayswater Barracudas,Bayswater Barracudas,Old Team,628.9074583,
Jason Alexander Heights,Jason Alexander Heights,Old Team,628.5833537,
North Beach Bearded Clams,North Beach Bearded Clams,Old Team,622.474801,
Booragoonbagz,Booragoonbagz,Old Team,594.0940808,
Stirling Archers,Stirling Archers,Old Team,585.5801481,
Kalamunda Hillbillies,Kalamunda Hillbillies,Old Team,582.9943161,
Fremantle Metropolis Double Blacks,Fremantle Metropolis Double Blacks,Old Team,581.9480033,
Rocko Rodents,Rocko Rodents,Old Team,557.2279955,
Dalkeith Urban's,Dalkeith Urbans,Old Team,553.6799728,
Yokine Drugs n' Crime,Yokine Drugs n Crime,Old Team,550.8407135,
East Freo Bae Blades,East Freo Bae Blades,Old Team,537.8517361,
Mount Hawt'n'horny,Mount Hawt'n'horny,Old Team,501.4878572,
South Perth Sam's Green Eggs and Ham,Harambaeyswater,Old Team,585.5801481,
,Karawara Hockey Balboa's,New Team,550,
